Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/convert,3136,521,15000.0,15284.365039109092,45.29067799990116,41965.98980199997,21800.84470663265,5.228737764940221,0.8686774156676834,15000,16000,17000,17000,19000,20000,26000,29000,33000,42000,42000
,Aggregated,3136,521,15000.0,15284.365039109092,45.29067799990116,41965.98980199997,21800.84470663265,5.228737764940221,0.8686774156676834,15000,16000,17000,17000,19000,20000,26000,29000,33000,42000,42000
